Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.9099999999999999,-1.0228183438195249
75% Corpus,3,0.31,symmetric,-1.0203586173199906
75% Corpus,3,0.61,0.01,-0.8046260001980364
75% Corpus,3,0.61,0.31,-1.0131636253745564
75% Corpus,3,0.61,0.61,-1.0013014640770024
75% Corpus,3,0.61,0.9099999999999999,-0.9495222345713442
75% Corpus,3,0.61,symmetric,-1.0077797712911842
75% Corpus,3,0.9099999999999999,0.01,-0.8033940915293813
75% Corpus,3,0.9099999999999999,0.31,-1.0639072295933516
75% Corpus,3,0.9099999999999999,0.61,-1.0017826878222542
75% Corpus,3,0.9099999999999999,0.9099999999999999,-0.973105224425324
75% Corpus,3,0.9099999999999999,symmetric,-1.048571352374233
75% Corpus,3,symmetric,0.01,-0.80529608778567
75% Corpus,3,symmetric,0.31,-1.0167402745552023
75% Corpus,3,symmetric,0.61,-1.0433778097220128
75% Corpus,3,symmetric,0.9099999999999999,-1.054337363704623
75% Corpus,3,symmetric,symmetric,-1.0195511860714914
75% Corpus,3,asymmetric,0.01,-0.8800670452596687
75% Corpus,3,asymmetric,0.31,-1.1274905282449996
75% Corpus,3,asymmetric,0.61,-0.9828751719746665
75% Corpus,3,asymmetric,0.9099999999999999,-0.8897532206712536
75% Corpus,3,asymmetric,symmetric,-1.114325345637617
75% Corpus,4,0.01,0.01,-0.9258860260139046
75% Corpus,4,0.01,0.31,-1.0452259514468312
75% Corpus,4,0.01,0.61,-1.2141886461839375
75% Corpus,4,0.01,0.9099999999999999,-1.276977385703535
75% Corpus,4,0.01,symmetric,-0.9084420630972354
75% Corpus,4,0.31,0.01,-0.9179245643242457
75% Corpus,4,0.31,0.31,-1.0548478501349887
75% Corpus,4,0.31,0.61,-1.2681828570421994
75% Corpus,4,0.31,0.9099999999999999,-1.282924087190051
75% Corpus,4,0.31,symmetric,-0.9413733381771393
75% Corpus,4,0.61,0.01,-0.9157700443043069
75% Corpus,4,0.61,0.31,-1.0612354903019074
75% Corpus,4,0.61,0.61,-1.3762150368292394
75% Corpus,4,0.61,0.9099999999999999,-1.2593902547273872
75% Corpus,4,0.61,symmetric,-0.913458258997506
75% Corpus,4,0.9099999999999999,0.01,-0.9375789190644641
75% Corpus,4,0.9099999999999999,0.31,-1.0202421078712502
75% Corpus,4,0.9099999999999999,0.61,-1.3508451391754972
75% Corpus,4,0.9099999999999999,0.9099999999999999,-1.2554306228259842
75% Corpus,4,0.9099999999999999,symmetric,-0.9075817080462144
75% Corpus,4,symmetric,0.01,-0.9198818475179478
75% Corpus,4,symmetric,0.31,-1.071817030064488
75% Corpus,4,symmetric,0.61,-1.2608605775696575
75% Corpus,4,symmetric,0.9099999999999999,-1.2775760145868036
75% Corpus,4,symmetric,symmetric,-1.0835307969757153
75% Corpus,4,asymmetric,0.01,-0.9377864281696872
75% Corpus,4,asymmetric,0.31,-1.1349082661051628
75% Corpus,4,asymmetric,0.61,-1.070020939212776
75% Corpus,4,asymmetric,0.9099999999999999,-1.9088428984820303
75% Corpus,4,asymmetric,symmetric,-1.2273433337769557
75% Corpus,5,0.01,0.01,-1.06758585445627
75% Corpus,5,0.01,0.31,-1.2957312905273912
75% Corpus,5,0.01,0.61,-1.540720528798546
75% Corpus,5,0.01,0.9099999999999999,-1.6203245313582049
75% Corpus,5,0.01,symmetric,-1.2731707889959143
75% Corpus,5,0.31,0.01,-1.112113844330263
75% Corpus,5,0.31,0.31,-1.3638203434575873
75% Corpus,5,0.31,0.61,-1.7617059481068698
75% Corpus,5,0.31,0.9099999999999999,-1.999424675802007
75% Corpus,5,0.31,symmetric,-1.2533800745231256
75% Corpus,5,0.61,0.01,-1.1421802961133527
75% Corpus,5,0.61,0.31,-1.2427306072209519
75% Corpus,5,0.61,0.61,-1.678501891453891
75% Corpus,5,0.61,0.9099999999999999,-1.792374787242844
75% Corpus,5,0.61,symmetric,-1.2530403638449676
75% Corpus,5,0.9099999999999999,0.01,-0.9823430705815163
75% Corpus,5,0.9099999999999999,0.31,-1.2397520997574847
75% Corpus,5,0.9099999999999999,0.61,-1.5119257502259145
75% Corpus,5,0.9099999999999999,0.9099999999999999,-1.5920939984289553
75% Corpus,5,0.9099999999999999,symmetric,-1.2606130082015714
75% Corpus,5,symmetric,0.01,-1.0686243905083141
75% Corpus,5,symmetric,0.31,-1.2939115890664967
75% Corpus,5,symmetric,0.61,-1.6255846684136457
75% Corpus,5,symmetric,0.9099999999999999,-1.9377642204562797
75% Corpus,5,symmetric,symmetric,-1.2653502806216652
75% Corpus,5,asymmetric,0.01,-1.0948948817989541
75% Corpus,5,asymmetric,0.31,-1.1106534836244748
75% Corpus,5,asymmetric,0.61,-1.2739176710375282
75% Corpus,5,asymmetric,0.9099999999999999,-2.456348551347689
75% Corpus,5,asymmetric,symmetric,-1.1287897441619026
75% Corpus,6,0.01,0.01,-1.0862864108577814
75% Corpus,6,0.01,0.31,-1.241701229322034
75% Corpus,6,0.01,0.61,-1.2133759391925731
75% Corpus,6,0.01,0.9099999999999999,-1.2566714214673047
75% Corpus,6,0.01,symmetric,-1.3108835903699536
75% Corpus,6,0.31,0.01,-1.1137722657275395
75% Corpus,6,0.31,0.31,-1.1656823558954068
75% Corpus,6,0.31,0.61,-1.2281826641093943
75% Corpus,6,0.31,0.9099999999999999,-1.4346921855468564
75% Corpus,6,0.31,symmetric,-1.315074412187751
75% Corpus,6,0.61,0.01,-1.1788600594093601
75% Corpus,6,0.61,0.31,-1.1672846485756676
75% Corpus,6,0.61,0.61,-1.2277825903068362
75% Corpus,6,0.61,0.9099999999999999,-1.3849863960369964
75% Corpus,6,0.61,symmetric,-1.2742867372009028
75% Corpus,6,0.9099999999999999,0.01,-1.2342039613000169
75% Corpus,6,0.9099999999999999,0.31,-1.1629234339300316
75% Corpus,6,0.9099999999999999,0.61,-1.1959156371868167
75% Corpus,6,0.9099999999999999,0.9099999999999999,-1.4656110805340534
75% Corpus,6,0.9099999999999999,symmetric,-1.2643770470982212
75% Corpus,6,symmetric,0.01,-1.0844611686311325
75% Corpus,6,symmetric,0.31,-1.1824385101910961
75% Corpus,6,symmetric,0.61,-1.2291841834099844
75% Corpus,6,symmetric,0.9099999999999999,-1.3281180030861492
75% Corpus,6,symmetric,symmetric,-1.369164835277119
75% Corpus,6,asymmetric,0.01,-1.1403303662854398
75% Corpus,6,asymmetric,0.31,-1.1179563320874661
75% Corpus,6,asymmetric,0.61,-1.289431524352403
75% Corpus,6,asymmetric,0.9099999999999999,-3.506651999449826
75% Corpus,6,asymmetric,symmetric,-1.0886237788731696
75% Corpus,7,0.01,0.01,-1.0968304404001796
75% Corpus,7,0.01,0.31,-1.314781492995641
75% Corpus,7,0.01,0.61,-1.8697131356788883
75% Corpus,7,0.01,0.9099999999999999,-2.3749827963645513
75% Corpus,7,0.01,symmetric,-1.3039880817919083
75% Corpus,7,0.31,0.01,-1.1051810880276842
75% Corpus,7,0.31,0.31,-1.2508136021958252
75% Corpus,7,0.31,0.61,-1.7745379192873865
75% Corpus,7,0.31,0.9099999999999999,-2.744626570055192
75% Corpus,7,0.31,symmetric,-1.2302678830897933
75% Corpus,7,0.61,0.01,-1.1730953698020845
75% Corpus,7,0.61,0.31,-1.3181108892949231
