Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.9099999999999999,-2.1651406458123397
75% Corpus,3,symmetric,symmetric,-2.0810524013008
75% Corpus,3,asymmetric,0.01,-3.163648474225449
75% Corpus,3,asymmetric,0.31,-4.182587947507734
75% Corpus,3,asymmetric,0.61,-3.957855246443895
75% Corpus,3,asymmetric,0.9099999999999999,-4.104291980763594
75% Corpus,3,asymmetric,symmetric,-2.6368142451954095
75% Corpus,4,0.01,0.01,-3.1296079453508416
75% Corpus,4,0.01,0.31,-3.3449163928680763
75% Corpus,4,0.01,0.61,-2.801022330445347
75% Corpus,4,0.01,0.9099999999999999,-3.98686451846534
75% Corpus,4,0.01,symmetric,-2.9854870462898795
75% Corpus,4,0.31,0.01,-2.6795186217616327
75% Corpus,4,0.31,0.31,-2.903118423431393
75% Corpus,4,0.31,0.61,-2.8529679629119165
75% Corpus,4,0.31,0.9099999999999999,-4.159092424104103
75% Corpus,4,0.31,symmetric,-2.9035240690418136
75% Corpus,4,0.61,0.01,-2.9870134537477853
75% Corpus,4,0.61,0.31,-3.3164523315155603
75% Corpus,4,0.61,0.61,-3.239242917509198
75% Corpus,4,0.61,0.9099999999999999,-3.845114357530439
75% Corpus,4,0.61,symmetric,-2.7292133053038725
75% Corpus,4,0.9099999999999999,0.01,-2.7550258826371192
75% Corpus,4,0.9099999999999999,0.31,-2.7179236301472365
75% Corpus,4,0.9099999999999999,0.61,-3.126708385272809
75% Corpus,4,0.9099999999999999,0.9099999999999999,-3.3593742017790795
75% Corpus,4,0.9099999999999999,symmetric,-3.2134823752204134
75% Corpus,4,symmetric,0.01,-3.475525042105707
75% Corpus,4,symmetric,0.31,-2.6766911834928364
75% Corpus,4,symmetric,0.61,-2.9866606863225615
75% Corpus,4,symmetric,0.9099999999999999,-4.808477254138126
75% Corpus,4,symmetric,symmetric,-2.654887256398307
75% Corpus,4,asymmetric,0.01,-3.0533360477769302
75% Corpus,4,asymmetric,0.31,-3.8109814081927116
75% Corpus,4,asymmetric,0.61,-4.197999217984828
75% Corpus,4,asymmetric,0.9099999999999999,-6.5611362467282
75% Corpus,4,asymmetric,symmetric,-3.732942901428755
75% Corpus,5,0.01,0.01,-2.7481889321000432
75% Corpus,5,0.01,0.31,-3.2530309475514705
75% Corpus,5,0.01,0.61,-3.01496792070352
75% Corpus,5,0.01,0.9099999999999999,-3.8107916211089345
75% Corpus,5,0.01,symmetric,-2.833147148060989
75% Corpus,5,0.31,0.01,-2.9307764795098143
75% Corpus,5,0.31,0.31,-3.603584175074642
75% Corpus,5,0.31,0.61,-3.638721652877024
75% Corpus,5,0.31,0.9099999999999999,-4.266942703323864
75% Corpus,5,0.31,symmetric,-3.318201568593211
75% Corpus,5,0.61,0.01,-3.272199787940923
75% Corpus,5,0.61,0.31,-3.182728248915507
75% Corpus,5,0.61,0.61,-3.2766089404105423
75% Corpus,5,0.61,0.9099999999999999,-3.960347628786905
75% Corpus,5,0.61,symmetric,-3.1830409063260694
75% Corpus,5,0.9099999999999999,0.01,-3.0548418093340586
75% Corpus,5,0.9099999999999999,0.31,-2.7213217538849013
75% Corpus,5,0.9099999999999999,0.61,-2.733355038360028
75% Corpus,5,0.9099999999999999,0.9099999999999999,-3.862999266200591
75% Corpus,5,0.9099999999999999,symmetric,-2.8973038445461996
75% Corpus,5,symmetric,0.01,-2.696915708689329
75% Corpus,5,symmetric,0.31,-3.1182077851650747
75% Corpus,5,symmetric,0.61,-2.921975953081231
75% Corpus,5,symmetric,0.9099999999999999,-3.6398715969853654
75% Corpus,5,symmetric,symmetric,-2.8996906344766216
75% Corpus,5,asymmetric,0.01,-2.9598713040219264
75% Corpus,5,asymmetric,0.31,-3.5517183271270696
75% Corpus,5,asymmetric,0.61,-5.775904748255021
75% Corpus,5,asymmetric,0.9099999999999999,-6.010717026124868
75% Corpus,5,asymmetric,symmetric,-3.018205866806204
75% Corpus,6,0.01,0.01,-2.813243999497024
75% Corpus,6,0.01,0.31,-3.4261288591957104
75% Corpus,6,0.01,0.61,-4.586303598481957
75% Corpus,6,0.01,0.9099999999999999,-6.317376727896305
75% Corpus,6,0.01,symmetric,-3.331940743326076
75% Corpus,6,0.31,0.01,-3.0395514003023614
75% Corpus,6,0.31,0.31,-3.811916020446784
