formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"124B Henley Beach Rd, Torrensville SA 5031, Australia",Parwana Afghan Kitchen,4.6,-34.923616,138.5673944,-34.92236467010727,138.5687684298927,-34.92506432989271,138.5660687701073,False,parwana restaurant specialising in,-1,-1,35,44
"Kaurna Country, 11 Jeffcott St, North Adelaide SA 5006, Australia",Carclew,4.5,-34.912419,138.592767,-34.91110987010727,138.5941358798927,-34.91380952989272,138.5914362201073,True,carclew,38,-1,47,56
"św. Maksymiliana Kolbego 11, 02-781 Warszawa, Poland",Global Shapers Warsaw Hub,0.0,52.1482867,21.0293592,52.14962577989272,21.03072972989273,52.14692612010727,21.02803007010728,True,global shapers,-1,-1,-1,-1
"11130 NE 33rd Pl # 110, Bellevue, WA 98004, United States",Computer Aided Technology (CATI),5.0,47.640548,-122.191379,47.64177762989272,-122.1901171701073,47.63907797010728,-122.1928168298927,True,solidworks,-1,-1,-1,-1
"Shop 3/4 Main N Rd, Blakeview SA 5114, Australia",La Strand Hair and Body,4.8,-34.6855766,138.6926749,-34.68420507010728,138.6940120298927,-34.68690472989272,138.6913123701073,True,la strand hair and body in,-1,-1,30,39
"136 Frome St, Adelaide SA 5000, Australia",Adelaide Fringe Inc.,4.1,-34.9260802,138.6083388,-34.92471367010727,138.6096074798927,-34.92741332989272,138.6069078201073,True,deus ex femina,14,-1,23,32
"333 NW 5th St #410, Oklahoma City, OK 73102, United States",Maisha Project,4.4,35.4731908,-97.5189716,35.47449637989272,-97.51761562010728,35.47179672010728,-97.52031527989271,False,maisha flow,-1,-1,-1,-1
"Lot 14, Allied Health Building North Terrace, Adelaide SA 5000, Australia",Teamgage Pty Ltd,5.0,-34.9205093,138.6083932,-34.91940692010728,138.6095677798927,-34.92210657989272,138.6068681201073,True,teamgage,46,-1,55,64
"22-44 Bath Ln, East Bendigo VIC 3550, Australia",Bendigo And Adelaide Bank Ltd,0.0,-36.7605997,144.2781312,-36.75931557010728,144.2795481798927,-36.76201522989272,144.2768485201073,,the bank of america advised bendigo,-1,-1,-1,38
"Level 3/168 Cremorne St, Cremorne VIC 3121, Australia",MYOB,3.0,-37.830242,144.9900244,-37.82890377010728,144.9914820798927,-37.83160342989272,144.9887824201072,True,myob,-1,-1,-1,44
"2800 Sand Hill Rd #200, Menlo Park, CA 94025, United States",Kohlberg Kravis Roberts & Co,3.5,37.4214482,-122.2124517,37.42275212989272,-122.2110648701073,37.42005247010727,-122.2137645298928,,kkr,-1,-1,5,-1
