tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2689353861/38C549A391024716PQ/1041?accountid=14649,Media Release: Dopamine hits; Antarctic art; a mass rocket launch; and will we have enough prawns for Christmas?,"Jul 15, 2022",Australian Associated Press Pty Limited,Wire Feed,['Breweries']
artificial intelligence,https://www.proquest.com/anznews/docview/2389111558/38C549A391024716PQ/1042?accountid=14649,Teaching animal handling from the classroom,"Apr 9, 2020",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2444956459/38C549A391024716PQ/1043?accountid=14649,"Picture this, IVF results to lift","Sep 24, 2020",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2269055024/38C549A391024716PQ/1044?accountid=14649,Just Eat hails Menulog’s appetite for growth,"Aug 8, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2244139082/38C549A391024716PQ/1045?accountid=14649,"Small local film, big global reach","Jun 22, 2019",Fairfax Digital,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2407414464/38C549A391024716PQ/1046?accountid=14649,Surging banks add 15pc in four days,"May 29, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2244135993/38C549A391024716PQ/1047?accountid=14649,inventive sci-fi thrills,"Jun 22, 2019",Fairfax Digital,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2408918569/38C549A391024716PQ/1048?accountid=14649,New high-tech koala count begins on KI,"Jun 4, 2020",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2207153023/38C549A391024716PQ/1049?accountid=14649,"10 THINGS to see, hear & do this weekend","Apr 12, 2019",Fairfax Digital,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2718727541/6F564745A9754A21PQ/1?accountid=14649,Space spending invests in quality of life on Earth,"Sep 29, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2720608530/6F564745A9754A21PQ/2?accountid=14649,Satellite firm sets up at Lot Fourteen,"Oct 4, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2664938581/6F564745A9754A21PQ/3?accountid=14649,Satellite selfie stick a weapon in space wars,"May 17, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2664941337/6F564745A9754A21PQ/4?accountid=14649,Satellite selfie stick a weapon in space wars,"May 17, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2727770126/6F564745A9754A21PQ/5?accountid=14649,Airbus shares control for Aussie space race,"Oct 25, 2022",Nationwide News Pty Ltd,Newspaper,"['Supply chains;', 'Engineering firms']"
satellite technology,https://www.proquest.com/anznews/docview/2556171354/6F564745A9754A21PQ/6?accountid=14649,Low-orbit satellite technology allows a new generation to find their place in space,"Jul 29, 2021",Nationwide News Pty Ltd,Newspaper,['Machine learning']
satellite technology,https://www.proquest.com/anznews/docview/2729233414/6F564745A9754A21PQ/7?accountid=14649,Exciting new build for Blackfriars,"Oct 29, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2727491040/6F564745A9754A21PQ/8?accountid=14649,Moonshot: Airbus pitches to build sovereign space industry,"Oct 24, 2022",Nationwide News Pty Ltd,Newspaper,"['Supply chains;', 'Engineering firms']"
satellite technology,https://www.proquest.com/anznews/docview/2712256020/6F564745A9754A21PQ/9?accountid=14649,Submariner Mark Hammond rises to the challenge,"Sep 9, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2712082283/6F564745A9754A21PQ/10?accountid=14649,SUBMARINER RISES TO THE CHALLENGE,"Sep 10, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2523040105/6F564745A9754A21PQ/11?accountid=14649,"Price on carbon is the key, says Green Collar’s James Schultz","May 7, 2021",Nationwide News Pty Ltd,Newspaper,"['International relations;', 'Executives']"
satellite technology,https://www.proquest.com/anznews/docview/2624761614/6F564745A9754A21PQ/12?accountid=14649,The Advertiser Adelaide a launching pad for innovation,"Feb 3, 2022",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2580192960/6F564745A9754A21PQ/13?accountid=14649,Space Week’s timely reminder,"Oct 8, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2458201650/6F564745A9754A21PQ/14?accountid=14649,OUR PROSPECTUS,"Nov 7, 2020",Nationwide News Pty Ltd,Newspaper,['Cost of living']
satellite technology,https://www.proquest.com/anznews/docview/2476296275/6F564745A9754A21PQ/15?accountid=14649,Undischarged bankrupt David Catsoulis hoping to hit gold with new project,"Jan 8, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2501882733/6F564745A9754A21PQ/16?accountid=14649,Rocket launch site deal in place,"Mar 18, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2500017733/6F564745A9754A21PQ/17?accountid=14649,Southern Launch finalises launchpad agreement,"Mar 12, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2595224290/6F564745A9754A21PQ/18?accountid=14649,Physics & Mathematics - Australia's research field leaders,"Nov 10, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2533469632/6F564745A9754A21PQ/19?accountid=14649,"Know of Atlassian? Now watch for Complexica, Clipchamp, SafetyCulture & Canva","May 27, 2021",Nationwide News Pty Ltd,Newspaper,"['Startups;', 'Executives;', 'Value stocks']"
satellite technology,https://www.proquest.com/anznews/docview/2534508260/6F564745A9754A21PQ/20?accountid=14649,"Know of Atlassian? Now watch for Complexica, Clipchamp, SafetyCulture & Canva","May 30, 2021",Nationwide News Pty Ltd,Newspaper,"['Startups;', 'Executives;', 'Value stocks']"
satellite technology,https://www.proquest.com/anznews/docview/2634863933/6F564745A9754A21PQ/21?accountid=14649,Primary voices have say,"Mar 3, 2022",Fairfax Media Publications Pty Limited,Newspaper,"['Leases;', 'Workforce']"
satellite technology,https://www.proquest.com/anznews/docview/2564170425/6F564745A9754A21PQ/22?accountid=14649,Conference gets the green light,"Aug 26, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2562570387/6F564745A9754A21PQ/23?accountid=14649,AgTech conference gets green light,"Aug 20, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2548949350/6F564745A9754A21PQ/24?accountid=14649,Monitoring technology reduces water run times,"Jul 8, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2649753844/6F564745A9754A21PQ/25?accountid=14649,Getting water systems right,"Apr 14, 2022",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2581487704/6F564745A9754A21PQ/26?accountid=14649,Agtech event to drive SA industry forward,"Oct 14, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2549953531/6F564745A9754A21PQ/27?accountid=14649,Monitoring technology reduces water run times,"Jul 11, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2555223161/6F564745A9754A21PQ/28?accountid=14649,Protest over tower plans,"Jul 27, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2555222348/6F564745A9754A21PQ/29?accountid=14649,Protest over tower plans,"Jul 27, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2522953971/6F564745A9754A21PQ/30?accountid=14649,PRICE ON CARBON IS THE KEY,"May 8, 2021",Nationwide News Pty Ltd,Newspaper,"['International relations;', 'Executives']"
satellite technology,https://www.proquest.com/anznews/docview/2504588167/6F564745A9754A21PQ/31?accountid=14649,4K vision splendid,"Mar 25, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2557136809/6F564745A9754A21PQ/32?accountid=14649,If people choose to opt out of the Covid-19 vaccination program they should face penalties – Rex Jory,"Aug 2, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2557139836/6F564745A9754A21PQ/33?accountid=14649,If people choose to opt out of the Covid-19 vaccination program they should face penalties – Rex Jory,"Aug 2, 2021",Nationwide News Pty Ltd,Newspaper,
