formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"St Thomas St, Harbour Village, Penryn TR10 8JP, United Kingdom",the seaweed institute,50.1665871,-5.101452699999999,50.16800662989272,-5.099956770107278,50.16530697010728,-5.102656429892722,0.0,False,-1,-1,-1,-1,the australian seaweed institute
"133-135 Abbott Rd, Hallam VIC 3803, Australia",united solar energy,-38.00818200000001,145.256756,-38.00657922010728,145.2581562298927,-38.00927887989272,145.2554565701072,4.7,True,-1,-1,36,-1,united solar group
"30 Atchison St, St Leonards NSW 2065, Australia",national electrical and communications association,-33.822668,151.197317,-33.82143047010727,151.1986582798928,-33.82413012989272,151.1959586201073,0.0,True,-1,-1,38,-1,the national electrical and communications association neca
"12356 Northup Way suite d, Bellevue, WA 98005, United States",electric league of the pacific northwest,47.6300563,-122.1760836,47.63147842989272,-122.1746662201073,47.62877877010727,-122.1773658798927,5.0,,-1,-1,-1,-1,electric pictures
"701 5th Ave #2150, Seattle, WA 98104, United States",sumitomo metal mining america,47.6048152,-122.3305677,47.60582292989272,-122.3290973201073,47.60312327010728,-122.3317969798927,0.0,,-1,-1,-1,-1,simec mining arm
"126 Churchill Rd N, Dry Creek SA 5094, Australia",hallett group,-34.8341924,138.5914621,-34.83275142010728,138.5927013298927,-34.83545107989272,138.5900016701073,3.4,True,-1,-1,39,30,hallett group
"Sydney NSW 2000, Australia","wynyard railway station, sydney",-33.8660077,151.2055521,-33.86465087010727,151.2069862298927,-33.86735052989272,151.2042865701073,3.9,,-1,-1,17,-1,adelaide radio station ad
"100 Plain St, Perth WA 6004, Australia",minerals research institute of western australia,-31.9604896,115.8750171,-31.95912642010727,115.8762113298928,-31.96182607989272,115.8735116701073,5.0,False,-1,-1,29,-1,university of western australia
"11 Waymouth St, Adelaide SA 5000, Australia",department for energy and mining,-34.9260604,138.5990387,-34.92458442010727,138.6003383298927,-34.92728407989271,138.5976386701073,5.0,True,16,-1,34,25,sa department for energy and mining
"Level 2/1 Reserve Rd, St Leonards NSW 2065, Australia",nsw ministry of health,-33.822872,151.192258,-33.82166327010728,151.1934424298927,-33.82436292989273,151.1907427701073,2.7,True,-1,-1,44,-1,the nsw ministry of health
"10701 Main St Suite 502, Bellevue, WA 98004, United States",vector marketing seattle,47.6098284,-122.1978846,47.61118902989273,-122.1966303201073,47.60848937010729,-122.1993299798927,4.2,True,-1,-1,-1,-1,boeing s seattle
"21 Hackett Dr., Crawley WA 6009, Australia",forrest research foundation,-31.9757379,115.8219527,-31.97442917010728,115.8233598798927,-31.97712882989272,115.8206602201073,0.0,False,-1,-1,33,-1,the forrest research foundation
"35 Stirling Hwy, Crawley WA 6009, Australia",the university of western australia,-31.9789061,115.8180721,-31.97105020000001,115.82466015,-31.9901678,115.81268075,4.4,False,-1,-1,34,-1,the university of western australia
"18205 Alderwood Mall Pkwy S, Lynnwood, WA 98037, United States",world market,47.8334242,-122.2668184,47.83466112989272,-122.2654312701073,47.83196147010728,-122.2681309298927,4.4,True,-1,-1,-1,-1,world bank
"1600 Pennsylvania Avenue NW, Washington, DC 20500, United States",the white house,38.8976763,-77.0365298,38.90150685,-77.03520167010727,38.89639945,-77.03790132989272,4.0,,-1,-1,-1,-1,the white house
"1015 2nd Ave, Seattle, WA 98104, United States",federal reserve bank of san francisco,47.6053613,-122.3358179,47.60678502989272,-122.3342878701073,47.60408537010727,-122.3369875298927,3.3,True,-1,-1,-1,-1,the federal reserve s
