link,tech,person,nationality,building,organization,country,location,product,event,money
https://www.proquest.com/anznews/docview/2446764687/68A587A7EB9B45C7PQ/184?accountid=14649,data analytics,"andrew skinner, seth thuraisingham, thuraisingham",,,"consilium, consilium technology, measurement engineering australia, mea, green brain s, gaia, greenbrain, gaia consilium technology, agritech, the australian department of defence science and technology","australia, gaia",,"green brain, infinite studio",,
https://www.proquest.com/anznews/docview/2429330420/68A587A7EB9B45C7PQ/185?accountid=14649,data analytics,"melanie burgess, rafael moyano, danni patterson, nina zivkovic","australians, australian",,"dynata, tafe, docusign, aws, covid, goanna solutions, aws re start",australia,,,the covid pandemic,
https://www.proquest.com/anznews/docview/2269055024/68A587A7EB9B45C7PQ/186?accountid=14649,data analytics,"paul harrison, peter duffy","british, australian",,"menulog, just eat, mcdonald s australia, woolworths, marley spoon, coles, uber eats, eat","denmark, britain, australia, canberra perth, adelaide, new zealand",,dynamic yield,,us million  bn
https://www.proquest.com/anznews/docview/2420893550/68A587A7EB9B45C7PQ/187?accountid=14649,data analytics,"steve lindsay, seelan nayagam, nayagam",territorians,,"dxc technology, dxc, the university of south australia, the sa state government, tasmanian technical and, tastafe",australia,,,,
https://www.proquest.com/anznews/docview/2405714329/68A587A7EB9B45C7PQ/188?accountid=14649,data analytics,paul di pietro,"australian, illawarra",,"the university of wollongong, the university of south australia, uow","australia, uow, nsw",,,,
https://www.proquest.com/anznews/docview/2242264320/68A587A7EB9B45C7PQ/189?accountid=14649,data analytics,"steven cain, cain, bryan raymond, schwarz","australian, german, british, victorian, south australian",,"coles, schwarz group, kaufland, schwarz, lidl, citi, ocado, flybuys, aldi, costco, adelaide coles, wesfarmers, wesfarmes","australia, melbourne, kaufland, us",,,investor day,
https://www.proquest.com/anznews/docview/2295439088/68A587A7EB9B45C7PQ/190?accountid=14649,data analytics,"longstaff, ginn, troy cooley, shane warne, david warner, michael clarke, jason gillespie, justin langer, lee glenn, ricky ponting, steve smith, mitchell starc, josh hazlewood",,junction oval,"cricket australia s, cricket victoria s, nsw cricket s, the national cricket centre, ncc, ca","sydney, brisbane, adelaide",,,olympic rowing,
https://www.proquest.com/anznews/docview/2405714768/68A587A7EB9B45C7PQ/191?accountid=14649,data analytics,paul di pietro,"australian, illawarra",,"the university of wollongong, the university of south australia, uow","australia, uow, nsw",,,,
https://www.proquest.com/anznews/docview/2242256535/68A587A7EB9B45C7PQ/192?accountid=14649,data analytics,"steven cain, cain, bryan raymond, schwarz","australian, german, british, victorian, south australian",,"coles, schwarz group, kaufland, schwarz, lidl, citi, ocado, flybuys, aldi, costco, adelaide coles, wesfarmers, wesfarmes","australia, melbourne, kaufland, us",,,investor day,
https://www.proquest.com/anznews/docview/2384905038/68A587A7EB9B45C7PQ/193?accountid=14649,data analytics,"justin douglas, douglas","australian, australians, tasmanian, tasmanians",,"evidion, the university of hong kong, harvard university","tasmania, new south wales, hong kong, the united states, australia, italy, nsw, south australia",,,,
https://www.proquest.com/anznews/docview/2722959331/68A587A7EB9B45C7PQ/194?accountid=14649,data analytics,"janek ratnatunga, ratnatunga, janek ratnatungaceo","australian, australia",,"the institute of certified management accountants cma anz the national skills commission, tafe, cma anz, the institute of certified management accountants australia nz, the university of south australia monash university university of melbourne, the australian national university, kpmg, the world bank","australia, new zealand, rhode island, usa",,,,
https://www.proquest.com/anznews/docview/2436308910/68A587A7EB9B45C7PQ/195?accountid=14649,data analytics,"steve bracks, john brumby, scott ryan, brumby, bracks, ryan","victorian, australian, australians","mernda line, the hume freeway, the princes freeway, a league stadium, melbourne airport, west gate tunnel, melbourne airport rail link, beveridge intermodal freight terminal, cobblebank western business accelerator, western highway upgrade, epping wollert rail footscray, irving street interchange, paisley street, maribyrnong west footscray community facilities plan, recwest redevelopment, whitten oval redevelopment, la trobe bioinnovation, la trobe neic enablers north west health, mitchell institute centre, westlink ison road bridge, essendon fields airport, greensborough station redevelopment, hume freeway, north arterial roads, upfield rail project, western aquatic and leisure centre, international airport, beveridge, outer metropolitan ring road, avalon airport port, mernda hurstbridge, footscray hospital, university town, footscray university town","senate, the federal government, la trobe university s, the andrews government, la trobe university, kangan institute, the national science museum, melbourne metro, victoria university","melbourne, commonwealth, newport, beveridge, epping, werribee, victoria, geelong, australia, wyndham, la trobe, maygar, cloverton, maribyrnong, st albans, east srl, eltham, melton, wyndham vale, fishermans bend, altona, maribyrnong city council","fishermans bend, yarra river, south australia, broadmeadows, north west, western intermodal freight precinct, north east line, moonee ponds, the west hobsons bay foreshore, east werribee, cross city tunnel",,,
https://www.proquest.com/anznews/docview/2436311692/68A587A7EB9B45C7PQ/196?accountid=14649,data analytics,"steve bracks, john brumby, scott ryan, brumby, bracks, ryan","victorian, australian, australians","mernda line, the hume freeway, the princes freeway, a league stadium, melbourne airport, west gate tunnel, melbourne airport rail link, beveridge intermodal freight terminal, cobblebank western business accelerator, western highway upgrade, epping wollert rail footscray, irving street interchange, paisley street, maribyrnong west footscray community facilities plan, recwest redevelopment, whitten oval redevelopment, la trobe bioinnovation, la trobe neic enablers north west health, mitchell institute centre, westlink ison road bridge, essendon fields airport, greensborough station redevelopment, hume freeway, north arterial roads, upfield rail project, western aquatic and leisure centre, international airport, beveridge, outer metropolitan ring road, avalon airport port, mernda hurstbridge, footscray hospital, university town, footscray university town","senate, the federal government, la trobe university s, the andrews government, la trobe university, kangan institute, the national science museum, melbourne metro, victoria university","melbourne, commonwealth, newport, beveridge, epping, werribee, victoria, geelong, australia, wyndham, la trobe, maygar, cloverton, maribyrnong, st albans, east srl, eltham, melton, wyndham vale, fishermans bend, altona, maribyrnong city council","fishermans bend, yarra river, south australia, broadmeadows, north west, western intermodal freight precinct, north east line, moonee ponds, the west hobsons bay foreshore, east werribee, cross city tunnel",,,
https://www.proquest.com/anznews/docview/2513678342/68A587A7EB9B45C7PQ/197?accountid=14649,data analytics,"steven marshall, marshall, stephen patterson, mike duhne, peter malinauskas",,,"google, trade and investment minister, accenture","adelaide, south australia s, south australia",,,,
https://www.proquest.com/anznews/docview/2513692033/68A587A7EB9B45C7PQ/198?accountid=14649,data analytics,"steven marshall, marshall, stephen patterson, mike duhne, peter malinauskas",,,"google, trade and investment minister, accenture","adelaide, south australia s, south australia",,,,
https://www.proquest.com/anznews/docview/2627244474/68A587A7EB9B45C7PQ/199?accountid=14649,data analytics,"steven marshall, brendan hopper, hopper","south australian, australian","lot fourteen s, royal adelaide hospital, lot fourteen, eleanor harrald building","the commonwealth bank, commonwealth bank, cba","adelaide, south australia s, south australia, australia",,,,
