tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2658276823/38C549A391024716PQ/13?accountid=14649,Murray Bridge students reaching for the stars,"May 3, 2022",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2697006266/38C549A391024716PQ/14?accountid=14649,John Barilaro padded CV with experience as ‘director’ of board that didn’t exist,"Aug 1, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2716746142/38C549A391024716PQ/15?accountid=14649,The smartest people in the room may not be your best hires,"Sep 22, 2022",Nationwide News Pty Ltd,Newspaper,"['Hiring;', 'Employment']"
artificial intelligence,https://www.proquest.com/anznews/docview/2675719383/38C549A391024716PQ/16?accountid=14649,Online and in-person exams both have problems – that's now clear. Unis have a window of opportunity to do better,"Jun 14, 2022",Athena Information Solutions Pvt. Ltd.,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2674512659/38C549A391024716PQ/17?accountid=14649,STROKES IN THE MACHINE,"Jun 11, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2700372976/38C549A391024716PQ/18?accountid=14649,Award recognition for Adelaide researchers,"Aug 11, 2022",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2672823033/38C549A391024716PQ/19?accountid=14649,Adam's FAMILY TREE,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,['Careers']
artificial intelligence,https://www.proquest.com/anznews/docview/2672461300/38C549A391024716PQ/20?accountid=14649,Adam's FAMILY TREE,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,['Careers']
artificial intelligence,https://www.proquest.com/anznews/docview/2725378272/38C549A391024716PQ/21?accountid=14649,Expanding tech firm eyes Lot Fourteen,"Oct 18, 2022",Nationwide News Pty Ltd,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2682551363/38C549A391024716PQ/22?accountid=14649,When particles collide,"Jul 2, 2022",Nationwide News Pty Ltd,Newspaper,['Architecture']
