Beach_FID,Beach_Name,total_visit_base1,% total,international_visit_beach_base,% international,interstate_visit_beach_base,% interstate,domestic_visit_beach,% domestic
433,Cobblers,207896.2910767623,0.15229593029498784,2168.086802058636,0.05795858899940955,2655.6339501449097,0.10512725964719881,203072.57032455876,0.1559203273398317
434,Balmoral,1307562.8502629376,0.9578646144602555,13636.172842883943,0.3645303022808798,16702.598584716285,0.6611974583705673,1277224.0788353374,0.98066024446353794
435,Obelisk ,214304.98861766444,0.15699066798807404,2234.9211476106934,0.05974524457114134,2737.497626873735,0.1083679562796078,209332.56984318,0.1607267922037502
436,Lady Bay,246066.8394536948,0.18025804133038065,2566.15577065227,0.06860000599536677,3143.2184262335345,0.12442902366287395,240357.465256809,0.18454789143367442
437,Clifton Gardens / Chowder Bay,214952.23769660067,0.15746481497789586,2241.6711101926044,0.05992568859518821,2745.765483021242,0.1086952517865421,209964.80110338682,0.16121222312575198
438,Camp Cove,243781.8161609574,0.17858413100561848,2542.325961963896,0.06796297334224946,3114.0299043910463,0.1232735521739341,238125.46029460247,0.18283414474806758
439,Sirius Cove,220311.4670913813,0.16139075719704296,2297.5608735926558,0.06141976707170588,2814.223421610147,0.11140526213437453,215199.6827961785,0.16523159642575427
44,Sharpes,126308.3221,0.09252807406321552,1317.2308400349777,0.03521300014484822,1613.442291910599,0.06387053710403183,123377.64896805443,0.09473009270908628
440,Little Sirius Cove,213848.3310797759,0.15665614020886862,2230.1588058881466,0.05961793481292052,2731.6643565689765,0.10813703751089451,208886.50791731878,0.16038430320396574
441,Cabarita,195597.0501494685,0.14328603247890426,2039.8217820734549,0.05452973201394965,2498.5254149307148,0.09890788224642696,191058.70295246434,0.1466960085148892
442,Watsons Bay,1482672.062656914,1.0861421333454595,15462.333234413449,0.41334831061853533,18939.41563906618,0.749745221981999,1448270.3137834342,1.1119905610135703
443,Taylors Bay,206165.65025158797,0.1510281368528283,2150.0384784799344,0.0574761104531479,2633.527021218776,0.1042521236529881,201382.08475188926,0.15462236246238603
