LGA_FID,LGA_Name,Beach_ID,Beach_Name,Driving_d
8888,CBD,260,Mungo ,242744
8888,CBD,261,Dark Point North ,234765.1
8888,CBD,262,"Bennetts  (Dark Point , White Sands, Lemon Tree, The Baskets,  Lovers Walk)",227143.1
8888,CBD,263,Hawks Nest,222817.5
8888,CBD,264,Winda Woppa,224559.6
8888,CBD,265,Jimmys,224736.7
8888,CBD,266,Soldiers Point,208434
8888,CBD,267,Soldiers Point (S),207753.3
8888,CBD,268,Little/ Little Nelson Bay,211520.5
8888,CBD,269,Wanda,206699.7
8888,CBD,270,Nelson Bay,210362.8
8888,CBD,271,Shoal Bay,212286.7
8888,CBD,272,Corlette,207982.9
8888,CBD,273,Nelson Bay Marina,209922.8
8888,CBD,274,Zenith ,213864.1
8888,CBD,275,Dutchmans,210280.8
8888,CBD,276,Bagnalls,209832
8888,CBD,277,Wreck North ,213888.2
8888,CBD,278,Wreck ,213800.8
8888,CBD,279,Box ,214557
8888,CBD,280,Fly Roads ,214557
8888,CBD,281,Fingal ,215355.8
8888,CBD,282,Shark Bay ,214557
8888,CBD,283,Samurai ,206014.1
8888,CBD,284,One Mile / Anna Bay,206510.7
8888,CBD,285,Birubi Point,202684.2
8888,CBD,286,Boulder ,205738.2
8888,CBD,287,Kingsley ,205802.5
8888,CBD,288,Little Kingsley ,205802.5
8888,CBD,289,Boat Harbour,205612.9
8888,CBD,290,Fishermans Bay,203851.7
8888,CBD,291,Newcastle Bight / Stockton,167458.6
8888,CBD,292,Stockton,170523.5
8888,CBD,293,Little Park ,171270.5
8888,CBD,294,Nobbys Head,164438.8
8888,CBD,295,Horseshoe ,164438.8
8888,CBD,296,Nobbys,164371.3
8888,CBD,297,Newcastle ,163612.7
8888,CBD,298,Susan Gilmour ,163151
8888,CBD,299,Bar ,163231.4
8888,CBD,300,Dixon Park ,163110.7
8888,CBD,301,Merewether ,163405.3
8888,CBD,302,The Gulf,163360.3
8888,CBD,303,The Gulf (S),163903.8
8888,CBD,304,Glenrock / Burwood,163271.2
8888,CBD,305,Dudley ,148982.3
8888,CBD,306,Redhead / Nine Mile ,144844.5
8888,CBD,307,Blacksmiths / Nine Mile,132999.2
8888,CBD,308,Swansea Wall  (Belmont),133508.3
8888,CBD,309,Swansea Heads ,133062.9
8888,CBD,310,Crabbes ,132482.6
8888,CBD,311,Hams ,132477.5
8888,CBD,312,Caves ,132586.5
8888,CBD,313,Stinky Point ,133768
8888,CBD,314,Quarry ,133758.4
8888,CBD,315,Pinny ,133724.7
8888,CBD,316,Catherine Hill Bay / Middle Camp ,122747.3
8888,CBD,317,Catherine Hill Bay South / Little ,122952.9
8888,CBD,318,Moonee,122591.3
8888,CBD,319,Little/Ghosties,123922.8
8888,CBD,320,Timber,123922.8
8888,CBD,321,Bongon ,124599.5
8888,CBD,322,Frazer Park,123566.9
8888,CBD,323,Deadmans/Gravelly,123279.1
8888,CBD,324,Little Birdie,123283.1
8888,CBD,325,Waterfall,119633.2
8888,CBD,326,Red Ochre,119667.3
8888,CBD,327,Birdie,118409.5
8888,CBD,328,Budgewoi,116115.1
8888,CBD,329,Lakes,117150.3
8888,CBD,330,Lakes South / Hargraves,113440
8888,CBD,331,Jenny Dixons,113290.8
8888,CBD,332,Noraville/ Cabbage Tree Harbour,114567.9
8888,CBD,333,Norah Head / Lighthouse,115404
8888,CBD,334,Gravelly/Pebbly,115396.1
8888,CBD,335,Soldiers,115575.3
8888,CBD,336,Tuggerah - Magenta,107125.7
8888,CBD,337,Magenta,107847
8888,CBD,338,Tuggerah / North Entrance,102734.2
8888,CBD,339,The Entrance,101846.5
8888,CBD,340,Blue Bay,101033.3
8888,CBD,341,Toowoon Bay,100427.5
8888,CBD,342,Little Bay,100594.8
8888,CBD,343,Shelly,99055.9
8888,CBD,344,Blue Lagoon,99546.7
8888,CBD,345,Bateau Bay,100135.1
8888,CBD,346,Forresters ,91383.4
8888,CBD,347,Spoon Bay,91834.1
8888,CBD,348,Wamberal,89493.1
8888,CBD,349,Terrigal,88613.2
8888,CBD,350,Terrigal Haven,89307
8888,CBD,351,North Avoca,90670.9
8888,CBD,352,Avoca,93787.7
8888,CBD,353,Copacabana ,94260
8888,CBD,354,MacMasters,94515.4
8888,CBD,355,Little,94852.2
8888,CBD,356,Maitland Bay,97871.9
8888,CBD,357,Ocean,87223.5
8888,CBD,358,Umina,87167.8
8888,CBD,359,Putty,98988
8888,CBD,360,Lobster,100897.1
8888,CBD,361,Bullimah,99157.6
8888,CBD,362,Killcare,98796.3
8888,CBD,363,Tallow,99917.5
8888,CBD,364,Little Tallow,99938.7
8888,CBD,365,Iron Ladder,99938.7
8888,CBD,366,Pearl,91796.3
8888,CBD,367,Patonga,95259.2
8888,CBD,368,Middle Head,92193
8888,CBD,369,Little Patonga,96076
8888,CBD,370,Flint and Steel,42736.5
8888,CBD,371,Flannel Flower,44375.8
8888,CBD,372,Hungry,41847.9
8888,CBD,373,Resolute ,44657.5
8888,CBD,374,Station (Barrebjoey),45462.6
8888,CBD,375,Great Mackerel ,43788.2
8888,CBD,376,North Palm ,45095.6
8888,CBD,377,Currawong ,43790.2
8888,CBD,378,Palm,45204.5
8888,CBD,379,Snapperman ,43938.4
8888,CBD,380,Sandy ,43497.1
8888,CBD,381,The Basin,40233.9
8888,CBD,382,Bonnie Doon,40168.3
8888,CBD,383,Portuguese ,41739.6
8888,CBD,384,Whale,42959.3
8888,CBD,385,Paradise ,40753.4
8888,CBD,386,Old Wharf,40213.4
8888,CBD,387,Clareville,41158.4
8888,CBD,388,Taylors,39568.7
8888,CBD,389,Avalon,39004
8888,CBD,390,Bilgola,37024.1
8888,CBD,391,Newport,35715.2
8888,CBD,392,Bungan,34529.4
8888,CBD,393,The Basin,33495.9
8888,CBD,394,Mona Vale,33072.2
8888,CBD,395,Warriewood,30865.8
8888,CBD,396,Turimetta / Little Narrabeen (Northern es),26813.7
8888,CBD,397,North Narrabeen,26021.2
8888,CBD,398,Narrabeen,24801.2
8888,CBD,399,South Narrabeen,24345.3
8888,CBD,400,Collaroy,22662.8
8888,CBD,401,Fishermans,22296.2
8888,CBD,402,Long Reef Head,22840.9
8888,CBD,403,Butter Box,22840.9
8888,CBD,404,Long Reef,22088.1
8888,CBD,405,Dee Why,20547.2
8888,CBD,406,North Curl Curl,20621.1
8888,CBD,407,South Curl Curl,19225
8888,CBD,408,Freshwater,18293.2
8888,CBD,409,Queenscliff,16966
8888,CBD,410,North Steyne ,16641.8
8888,CBD,411,Pickering Point,14250.9
8888,CBD,412,West Esplanande / Manly Cove,15916.4
8888,CBD,413,Delwood ,15480.2
8888,CBD,414,Manly ,16649.8
8888,CBD,415,Fairlight,15244.5
8888,CBD,416,Esplande,15248.1
8888,CBD,417,Shelly ,17495.5
8888,CBD,418,Fairy Bower,17171.7
8888,CBD,419,East Esplanade / Manly Cove,16277.7
8888,CBD,420,Sandy Bay,14881.6
8888,CBD,421,Forty Baskets ,15656.8
8888,CBD,422,Spit East ,13240.5
8888,CBD,423,Little Manly,17098.9
8888,CBD,424,Clontarf Beach,14573
8888,CBD,425,Reef ,15619.3
8888,CBD,426,Collins Flat,17270.9
8888,CBD,427,Castle Rock,15073.3
8888,CBD,428,Store ,19208.5
8888,CBD,429,Chinamans ,10782.5
8888,CBD,430,Washaway ,15708.5
8888,CBD,431,Quarantine,19362.9
8888,CBD,432,Edwards,10136.2
8888,CBD,433,Cobblers,11904.1
8888,CBD,434,Balmoral,10433
8888,CBD,435,Obelisk ,11722.7
8888,CBD,436,Lady Bay,12678.8
8888,CBD,437,Clifton Gardens / Chowder Bay,11432.4
8888,CBD,438,Camp Cove,12407.8
8888,CBD,439,Sirius Cove,10380.4
8888,CBD,440,Little Sirius Cove,10864.1
8888,CBD,441,Cabarita,15151
8888,CBD,442,Watsons Bay,11847.4
8888,CBD,443,Taylors Bay,10711
8888,CBD,444,Watsons Bay (S),11435.4
8888,CBD,445,Whiting ,11736.9
8888,CBD,446,Ashton Reserve,11064.2
8888,CBD,447,Athol ,11430.3
8888,CBD,448,Gibsons ,11532.4
8888,CBD,449,Kutti ,11065.6
8888,CBD,450,Quarantine Reserve,12136.2
8888,CBD,451,Shark,9494
8888,CBD,452,Parsley Bay ,9762.8
8888,CBD,453,Bradleys Head,11979.8
8888,CBD,454,Vaucluse Park,9783.2
8888,CBD,455,Milk,8754.7
8888,CBD,456,Bayview Park,13427.4
8888,CBD,457,Little Bay,8715.8
8888,CBD,458,Hermit,8569.2
8888,CBD,459,Queens,8481.3
8888,CBD,460,Lady Martins ,6046.7
8888,CBD,461,Carthona Ave,4196.4
8888,CBD,462,Rose Bay,7158.6
8888,CBD,463,Bellamy,5286.6
8888,CBD,464,Seven Shillings ,5081.1
8888,CBD,465,Double Bay,4376.9
8888,CBD,466,North Bondi,9028.2
8888,CBD,467,Bondi,8623.5
8888,CBD,468,Tamarama,8135.1
8888,CBD,469,Bronte,8591.9
8888,CBD,470,Clovelly,10519.4
8888,CBD,471,Gordons Bay,9791.7
8888,CBD,472,Coogee,9699.1
8888,CBD,473,Cooks River,13225.1
8888,CBD,474,Maroubra,14801.4
8888,CBD,475,Kyeemagh ,14265.6
8888,CBD,476,Maroubra South,14615.7
8888,CBD,477,Foreshore,15620.2
8888,CBD,478,Brighton-Le-Sands,15692.4
8888,CBD,479,Malabar,15147.8
8888,CBD,480,Monterey ,17291.2
8888,CBD,481,Little Bay 1,16608.1
8888,CBD,482,Yarra Bay,16442
8888,CBD,483,Little Bay 2,16632.4
8888,CBD,484,Frenchmans Bay (N) ,16393.3
8888,CBD,485,Frenchmans Bay (S) ,16601.2
8888,CBD,486,Ramsgate,18398.8
8888,CBD,487,Congwong  / La Perouse,16700.7
8888,CBD,488,Little Congwong ,17440.3
8888,CBD,489,Dolls Point ,19607
8888,CBD,490,Sandringham (N),20510.7
8888,CBD,491,Towra Point,19581.3
8888,CBD,492,Towra (E),19581.3
8888,CBD,493,Sandringham,21129.7
8888,CBD,494,Towra (W),19655.7
8888,CBD,495,Sandringham (S),22368.7
8888,CBD,496,Kurnell / Silver,37246.5
8888,CBD,497,Taren Point ,22766.8
8888,CBD,498,Pelican Point,21121.6
8888,CBD,499,Taren Point (S),24456.3
8888,CBD,500,Green Hills,32130
8888,CBD,501,Boat Harbour (Sutherland),35538.9
8888,CBD,502,Wanda,29982.6
8888,CBD,503,Elouera,30257.7
8888,CBD,504,North Cronulla,30081.7
8888,CBD,505,South Cronulla,30365.5
8888,CBD,506,Gunnamatta Park ,30576.1
8888,CBD,507,Blackwoodâs,30758.3
8888,CBD,508,Shelly,31378.3
8888,CBD,509,Lugano Ave,30592.6
8888,CBD,510,Darook Park,31768.4
8888,CBD,511,Oak Park ,32025.1
8888,CBD,512,Deeban Spit ,54342.4
