ID,Column1,Beach,LGA,New Count,CONF,Patrolled,Iconic,Main,National_Park,Open_Coast,Surf,Bay,Length (m),Mean Width (m),Latitude,Longitude,Changing room,Restaurant,Park
684,OEH653,Gannet,Shoalhaven,,,0,0,0,0,0,1,0,300,60,-35.51557,150.39864,0,0,0
685,OEH656,Murramarang,Shoalhaven,,,0,0,0,0,0,1,0,800,70,-35.52259,150.40178,0,0,0
686,OEH657,Cat and Kitten,Shoalhaven,,,0,0,0,0,0,0,1,150,30,-35.52832,150.40576,0,0,0
687,,Bull Pup,Shoalhaven,,,0,0,0,0,0,0,1,300,40,-35.53171,150.4024,0,0,0
688,OEH659,Racecourse,Shoalhaven,,,0,0,0,0,0,1,0,1300,90,-35.53628,150.39218,0,0,0
689,OEH663,Shelly  (Shoalhaven),Shoalhaven,,,0,0,0,0,0,1,0,400,60,-35.54384,150.38672,0,0,0
690,OEH664,Avenue,Shoalhaven,,,0,0,0,0,0,1,0,750,80,-35.54867,150.38362,0,0,1
691,OEH665,Kioloa,Shoalhaven,,,0,0,0,0,0,1,0,550,80,-35.55553,150.3815,1,1,1
692,OEH662,Boat Ramp,Shoalhaven,,,0,0,0,0,0,1,0,25,20,-35.55827,150.38377,0,0,0
693,,Merry ,Shoalhaven,,,0,0,0,0,0,1,0,300,100,-35.56525,150.37544,0,0,0
694,OEH667,Pretty ,Shoalhaven,,,0,0,0,1,0,0,0,200,80,-35.57035,150.36564,0,0,0
695,,O'hara Island,Shoalhaven,,,0,0,0,1,0,0,0,300,30,-35.57405,150.36233,0,0,0
696,OEH669,O'Hara (S1),Shoalhaven,,,0,0,0,1,0,0,0,200,50,-35.57625,150.36069,0,0,0
697,OEH670,Singing Stones,Shoalhaven,,,0,0,0,1,0,0,0,23,15,-35.577367,150.358311,0,0,0
698,OEH672,O'Hara (S2),Shoalhaven,,,0,0,0,1,0,0,0,150,65,-35.57874,150.35659,0,0,0
699,,O'Hara (S3),Shoalhaven,,,0,0,0,1,0,0,0,100,30,-35.5808,150.3545,0,0,0
700,OEH673,Dawson Island North,Shoalhaven,,,0,0,0,1,0,0,0,300,50,-35.58461,150.35229,0,0,0
701,OEH674,Dawson Island South,Shoalhaven,,,0,0,0,1,0,0,0,200,25,-35.58579,150.35175,0,0,0
702,OEH675,Snake Bay North,Shoalhaven,,,0,0,0,1,0,0,0,50,35,-35.58794,150.34652,0,0,0
703,OEH676,Snake Bay South,Shoalhaven,,,0,0,0,1,0,0,0,50,25,-35.59736,150.34017,0,0,0
704,OEH677,Burns Bay,Shoalhaven,,,0,0,0,1,0,0,0,130,30,-35.60358,150.33437,0,0,0
705,OEH679,Pebbly ,Shoalhaven,,,0,0,0,1,0,0,0,500,100,-35.60874,150.32895,1,0,1
706,OEH680,Depot ,Shoalhaven,,,0,0,0,1,0,0,0,500,60,-35.62654,150.3232,1,0,1
707,OEH681,Tranquillity Bay,Shoalhaven,,,0,0,0,1,0,0,0,70,30,-35.62951,150.32725,0,0,1
708,OEH684,Durras North,Shoalhaven,,,0,0,0,0,0,1,0,1500,80,-35.63551,150.31322,0,0,1
709,OEH685,Durras,Eurobodalla,,,0,0,0,0,0,1,0,2000,80,-35.64898,150.2984,1,1,1
710,OEH686,Durras South / Cookies,Eurobodalla,,,0,0,0,0,0,1,0,800,60,-35.66325,150.29688,0,1,1
711,OEH687,Beagle Bay / Mills,Eurobodalla,,,0,0,0,0,0,0,1,250,40,-35.66728,150.30164,0,0,1
712,OEH688,Emily Miller,Eurobodalla,,,0,0,0,0,0,0,1,300,40,-35.67355,150.30184,0,0,0
713,,Dark,Eurobodalla,,,0,0,0,0,0,0,1,100,30,-35.67895,150.29982,0,0,0
714,OEH690,Myrtle,Eurobodalla,,,0,0,0,0,0,0,1,250,40,-35.68372,150.29958,0,0,0
715,,South Myrtle,Eurobodalla,,,0,0,0,0,0,0,1,150,20,-35.68589,150.29752,0,0,0
716,OEH692,Richmond,Eurobodalla,,,0,0,0,0,0,1,0,300,50,-35.69362,150.29181,1,0,1
717,,Cullendulla,Eurobodalla,,,0,0,0,0,0,0,1,700,40,-35.70122,150.20481,0,0,0
718,OEH694,Surfside,Eurobodalla,,,0,0,0,0,0,0,1,800,60,-35.70305,150.19585,0,0,0
719,OEH695,Surfside  South ,Eurobodalla,,,0,0,0,0,0,0,1,1000,30,-35.7037,150.18686,1,1,1
720,,Oaky ,Eurobodalla,,,0,0,0,0,0,1,0,250,60,-35.70379,150.28096,0,0,0
721,OEH697,Long North 2,Eurobodalla,,,0,0,0,0,0,0,1,200,15,-35.70469,150.2372,0,0,0
722,OEH698,Long,Eurobodalla,,,0,0,0,0,0,0,1,2300,50,-35.70471,150.22258,0,0,0
723,OEH700,Long North 1,Eurobodalla,,,0,0,0,0,0,0,1,200,20,-35.70776,150.23962,0,0,0
724,OEH703,Maloneys,Eurobodalla,,,0,0,0,0,0,0,1,1000,50,-35.71025,150.24733,0,0,0
725,OEH702,Honeysuckle,Eurobodalla,,,0,0,0,0,0,0,1,100,30,-35.7112,150.27706,0,0,0
726,OEH701,Acheron Ledge,Eurobodalla,,,0,0,0,0,0,0,1,300,50,-35.71595,150.25681,0,0,1
727,OEH704,Chain Bay,Eurobodalla,,,0,0,0,0,0,0,1,100,20,-35.71718,150.25155,0,0,0
